word;gender;definition;link;correct_tally;incorrect_tally
angle;m;Anglais : angle (en) ;https://fr.wiktionary.org/wiki/angle;0;0
armoire;f;Anglais : cupboard (en), press (en) (Irlande, Écosse) wardrobe (en), armoire (en), closet (en) (usa) ;https://fr.wiktionary.org/wiki/armoire;0;0
banc;m;Anglais : bench (en) bank (en) school (en) ;https://fr.wiktionary.org/wiki/banc;0;0
bureau;m;Anglais : desk (en) office (en) board (en) ;https://fr.wiktionary.org/wiki/bureau;0;0
cabinet;m;Anglais : office (en) (3, 4), cabinet (en) (5, 6, 9), law office (en) toilet (en), lavatory (en), WC (en) (Royaume-Uni), loo (en) (Royaume-Uni), bog (en) ;https://fr.wiktionary.org/wiki/cabinet;0;0
carreau;m;Anglais : square (en) checkers (en), checkered (en) bolt (en), quarrel (en) (floor) tile (en), flagstone (en) tiled floor (en) diamond (en) pane (en) hit and lie (en), hit and stay (en), hit and stick (en) ;https://fr.wiktionary.org/wiki/carreau;0;0
chaise;f;Anglais : chair (en), seat (en) ;https://fr.wiktionary.org/wiki/chaise;0;0
classe;f;Anglais : class (en), form (en) bin (en), bucket (en) classroom (en) class (en), flair (en), panache (en) class (en) ;https://fr.wiktionary.org/wiki/classe;0;0
clé;f;Anglais : key (en) clef (en) ;https://fr.wiktionary.org/wiki/cl%C3%A9;0;0
coin;m;Anglais : wedge (en) corner (en), angle (en), chock (en), nook (en) ;https://fr.wiktionary.org/wiki/coin;0;0
couloir;m;Anglais : corridor (en), passage (en), aisle (en), alley (en) ;https://fr.wiktionary.org/wiki/couloir;0;0
dossier;m;Anglais : backrest (en), back (en) folder (en), file (en), dossier (en) file (en) dossier (en), file (en) folder (en) (dans une interface orientée graphique)  directory (en) (dans une interface orientée texte) ;https://fr.wiktionary.org/wiki/dossier;0;0
eau;f;Anglais : water (en) ;https://fr.wiktionary.org/wiki/eau;0;0
école;f;Anglais : school (en) ;https://fr.wiktionary.org/wiki/%C3%A9cole;0;0
écriture;f;Anglais : writing (en) ;https://fr.wiktionary.org/wiki/%C3%A9criture;0;0
entrée;f;Anglais : entree (en) (États-Unis), starter (en) (Royaume-Uni) entry (en) (1), entrance (en) (2,6), ticket (en) (3), start (en) (4), access (en), admission (en), admittance (en), accession (en), ingress (en) ;https://fr.wiktionary.org/wiki/entr%C3%A9e;0;0
escalier;m;Anglais : staircase (en), stairs (en), stairway (en), steps (en), flight of stairs (en) ;https://fr.wiktionary.org/wiki/escalier;0;0
étagère;f;Anglais : shelf (en) shelf (en), rack (en) ;https://fr.wiktionary.org/wiki/%C3%A9tag%C3%A8re;0;0
étude;f;Anglais : study (en) (1,2,3,4,6,7,8,9,14,16), study (en) time (5), etude (en) (8), attention (en) (12) ;https://fr.wiktionary.org/wiki/%C3%A9tude;0;0
extérieur;m;Anglais : exterior (en) (1,2), outside (en) (3), external (en) (4) exterior (en) ;https://fr.wiktionary.org/wiki/ext%C3%A9rieur;0;0
fenêtre;f;Anglais : window (en) window (en) ;https://fr.wiktionary.org/wiki/fen%C3%AAtre;0;0
intérieur;m;Anglais : in (en), inside (en), inner (en), internal (en), endogenous (en), inland (en), interior (en), intra- (en) inside (en) interior (en) interior (en) ;https://fr.wiktionary.org/wiki/int%C3%A9rieur;0;0
lavabo;m;Anglais : washbasin (en) toilet (en) ;https://fr.wiktionary.org/wiki/lavabo;0;0
lecture;f;Anglais : reading (en) ;https://fr.wiktionary.org/wiki/lecture;0;0
lit;m;Anglais : bed (en) stream bed (en), riverbed (en) (lit mineur), floodplain (en) (lit majeur), river bed (en) ;https://fr.wiktionary.org/wiki/lit;0;0
marche;f;Anglais : march (en) (Vieilli), frontier (en) march (en) march (en) walk (en) moving (en) march (en) working (en) (adjectif: en marche) step (en), rung (en) ;https://fr.wiktionary.org/wiki/marche;0;0
matelas;m;Anglais : mattress (en) ;https://fr.wiktionary.org/wiki/matelas;0;0
maternelle;f;Anglais : nursery school (en), kindergarden (en), kindergarten (en), preschool (en) ;https://fr.wiktionary.org/wiki/maternelle;0;0
meuble;m;Anglais : piece of furniture (en) furniture (en) common charge (en) (par opposition à ordinary, « pièce ») loose (en) ;https://fr.wiktionary.org/wiki/meuble;0;0
mousse;f;Anglais : moss (en) foam (en), suds (en) foam (en) foam material (en) mousse (en) cabin boy (en), matey (en) (familier) blunt (en) ;https://fr.wiktionary.org/wiki/mousse;0;0
mur;m;Anglais : wall (en) ;https://fr.wiktionary.org/wiki/mur;0;0
peluche;f;Anglais : plush (en) stuffed toy (en), plush toy (en) ;https://fr.wiktionary.org/wiki/peluche;0;0
placard;m;Anglais : cupboard (en), closet (en), locker (en) poster (en), placard (en) slammer (en) (Familier), jail (en), prison (en) banishment room (en) ;https://fr.wiktionary.org/wiki/placard;0;0
plafond;m;Anglais : ceiling (en) ceiling (en) ceiling (en) top cut (en) ;https://fr.wiktionary.org/wiki/plafond;0;0
porte;f;Anglais : door (en) gate (en) (écluse)  door (en) (double porte) gate (en) gateway (en) gate (en) gate (en) filter (en) ring (en) gate (en) gateway (en) doorstep (en) ;https://fr.wiktionary.org/wiki/porte;0;0
portemanteau;m;Anglais : coat rack (en) ;https://fr.wiktionary.org/wiki/portemanteau;0;0
poubelle;f;Anglais : trash can (en), trash bin (en) (Royaume-Uni), bin (en) (Royaume-Uni), garbage can (en) trash (en) (États-Unis), rubbish (en) ;https://fr.wiktionary.org/wiki/poubelle;0;0
radiateur;m;Anglais : radiator (en) radiator (en) heat sink (en) ;https://fr.wiktionary.org/wiki/radiateur;0;0
rampe;f;Anglais : ramp (en), slope (en) banister (en) ou bannister (en) balustrade (en), parapet (en), railing (en) lightbar (en) ;https://fr.wiktionary.org/wiki/rampe;0;0
récréation;f;Anglais : recreation (en), distraction (en), diversion (en), entertainment (en), amusement (en), fun (en), pleasure (en) recreation (en), recess (en) (États-Unis) recreation (en) ;https://fr.wiktionary.org/wiki/r%C3%A9cr%C3%A9ation;0;0
rentrée;f;Anglais : return (en), come-back (en) back-to-school (en) (adj: de la rentrée) ;https://fr.wiktionary.org/wiki/rentr%C3%A9e;0;0
rideau;m;Anglais : curtain (en) curtain (en) ;https://fr.wiktionary.org/wiki/rideau;0;0
robinet;m;Anglais : faucet (en) ;;;
salle;f;Anglais : room (en) room (en), hall (en) auditorium (en) ;https://fr.wiktionary.org/wiki/salle;0;0
savon;m;Anglais : soap (en) ;https://fr.wiktionary.org/wiki/savon;0;0
serrure;f;Anglais : lock (en) ;https://fr.wiktionary.org/wiki/serrure;0;0
serviette;f;Anglais : napkin (en) (États-Unis), serviette (en) (Royaume-Uni) towel (en) sanitary napkin (en) briefcase (en) ;https://fr.wiktionary.org/wiki/serviette;0;0
siège;m;Anglais : seat (en) commun seat (en) siege (en) siege (en) ;https://fr.wiktionary.org/wiki/si%C3%A8ge;0;0
sieste;f;Anglais : nap (en) (petit sommeil)  siesta (en) (sommeil après le déjeuner) ;https://fr.wiktionary.org/wiki/sieste;0;0
