word;gender;definition;link;correct_tally;incorrect_tally
carreau;m;Anglais : square (en) checkers (en), checkered (en) bolt (en), quarrel (en) (floor) tile (en), flagstone (en) tiled floor (en) diamond (en) pane (en) hit and lie (en), hit and stay (en), hit and stick (en) ;https://fr.wiktionary.org/wiki/carreau;0;0
chaise;f;Anglais : chair (en), seat (en) ;https://fr.wiktionary.org/wiki/chaise;0;0
classe;f;Anglais : class (en), form (en) bin (en), bucket (en) classroom (en) class (en), flair (en), panache (en) class (en) ;https://fr.wiktionary.org/wiki/classe;0;0
clé;f;Anglais : key (en) clef (en) ;https://fr.wiktionary.org/wiki/cl%C3%A9;0;0
coin;m;Anglais : wedge (en) corner (en), angle (en), chock (en), nook (en) ;https://fr.wiktionary.org/wiki/coin;0;0
couloir;m;Anglais : corridor (en), passage (en), aisle (en), alley (en) ;https://fr.wiktionary.org/wiki/couloir;0;0
dossier;m;Anglais : backrest (en), back (en) folder (en), file (en), dossier (en) file (en) dossier (en), file (en) folder (en) (dans une interface orientée graphique)  directory (en) (dans une interface orientée texte) ;https://fr.wiktionary.org/wiki/dossier;0;0
eau;f;Anglais : water (en) ;https://fr.wiktionary.org/wiki/eau;0;0
école;f;Anglais : school (en) ;https://fr.wiktionary.org/wiki/%C3%A9cole;0;0
écriture;f;Anglais : writing (en) ;https://fr.wiktionary.org/wiki/%C3%A9criture;0;0
entrée;f;Anglais : entree (en) (États-Unis), starter (en) (Royaume-Uni) entry (en) (1), entrance (en) (2,6), ticket (en) (3), start (en) (4), access (en), admission (en), admittance (en), accession (en), ingress (en) ;https://fr.wiktionary.org/wiki/entr%C3%A9e;0;0
escalier;m;Anglais : staircase (en), stairs (en), stairway (en), steps (en), flight of stairs (en) ;https://fr.wiktionary.org/wiki/escalier;0;0
étagère;f;Anglais : shelf (en) shelf (en), rack (en) ;https://fr.wiktionary.org/wiki/%C3%A9tag%C3%A8re;0;0
étude;f;Anglais : study (en) (1,2,3,4,6,7,8,9,14,16), study (en) time (5), etude (en) (8), attention (en) (12) ;https://fr.wiktionary.org/wiki/%C3%A9tude;0;0
extérieur;m;Anglais : exterior (en) (1,2), outside (en) (3), external (en) (4) exterior (en) ;https://fr.wiktionary.org/wiki/ext%C3%A9rieur;0;0
fenêtre;f;Anglais : window (en) window (en) ;https://fr.wiktionary.org/wiki/fen%C3%AAtre;0;0
intérieur;m;Anglais : in (en), inside (en), inner (en), internal (en), endogenous (en), inland (en), interior (en), intra- (en) inside (en) interior (en) interior (en) ;https://fr.wiktionary.org/wiki/int%C3%A9rieur;0;0
lavabo;m;Anglais : washbasin (en) toilet (en) ;https://fr.wiktionary.org/wiki/lavabo;0;0
lecture;f;Anglais : reading (en) ;https://fr.wiktionary.org/wiki/lecture;0;0
